Scientific name,Assign Scientific name
Eucalyptus coolabah,Eucalyptus coolabah
Eucalyptus coolabah subsp. arida,Eucalyptus coolabah subsp. arida
Eucalyptus coolabah subsp. coolabah,Eucalyptus coolabah subsp. coolabah
Eucalyptus corticosa,Eucalyptus corticosa
Eucalyptus costata,Eucalyptus costata subsp. murrayana
Eucalyptus costata subsp. murrayana,Eucalyptus costata subsp. murrayana
Eucalyptus crebra,Eucalyptus crebra
Eucalyptus crebra x fibrosa,Eucalyptus crebra x fibrosa
Eucalyptus crebra x microcarpa,Eucalyptus crebra x microcarpa
Eucalyptus crebra x nubila,Eucalyptus crebra x nubila
Eucalyptus crebra x siderophloia,Eucalyptus crebra x siderophloia
Eucalyptus crenulata,Eucalyptus crenulata
Eucalyptus croajingolensis,Eucalyptus croajingolensis
Eucalyptus cunninghamii,Eucalyptus cunninghamii
Eucalyptus cyanophylla,Eucalyptus cyanophylla
Eucalyptus cypellocarpa,Eucalyptus cypellocarpa
Eucalyptus dalrympleana,Eucalyptus dalrympleana
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana
Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha
Eucalyptus dalrympleana x viminalis,Eucalyptus dalrympleana x viminalis
Eucalyptus dawsonii,Eucalyptus dawsonii
Eucalyptus dealbata,Eucalyptus dealbata
Eucalyptus dealbata x dwyeri,Eucalyptus dealbata x dwyeri
Eucalyptus deanei,Eucalyptus deanei
Eucalyptus debeuzevillei,Eucalyptus debeuzevillei
Eucalyptus delegatensis,Eucalyptus delegatensis subsp. delegatensis
Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis
Eucalyptus dendromorpha,Eucalyptus dendromorpha
Eucalyptus dissita,Eucalyptus dissita
Eucalyptus dives,Eucalyptus dives
Eucalyptus dives x pauciflora,Eucalyptus dives x pauciflora
Eucalyptus dives x rossii,Eucalyptus dives x rossii
Eucalyptus dolichocarpa,Corymbia dolichocarpa
Eucalyptus dorrigoensis,Eucalyptus dorrigoensis
Eucalyptus dumosa,Eucalyptus dumosa
Eucalyptus dunnii,Eucalyptus dunnii
Eucalyptus dwyeri,Eucalyptus dwyeri
Eucalyptus elata,Eucalyptus elata
Eucalyptus elegans,Eucalyptus elegans
Eucalyptus elliptica,Eucalyptus elliptica
Eucalyptus eugenioides,Eucalyptus eugenioides
Eucalyptus eugenioides x globoidea,Eucalyptus eugenioides x globoidea
Eucalyptus eximia,Corymbia eximia
Eucalyptus expressa,Eucalyptus expressa
Eucalyptus exserta,Eucalyptus exserta
Eucalyptus fastigata,Eucalyptus fastigata
Eucalyptus fergusonii,Eucalyptus fergusonii
Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis
Eucalyptus fergusonii subsp. fergusonii,Eucalyptus fergusonii subsp. fergusonii
Eucalyptus fibrosa,Eucalyptus fibrosa
Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa
Eucalyptus fibrosa subsp. nubila,Eucalyptus nubila
Eucalyptus fibrosa x punctata,Eucalyptus fibrosa x punctata
Eucalyptus foecunda,Eucalyptus leptophylla
Eucalyptus fracta,Eucalyptus fracta
Eucalyptus fraxinoides,Eucalyptus fraxinoides
Eucalyptus fusiformis,Eucalyptus fusiformis
Eucalyptus gillii,Eucalyptus gillii
Eucalyptus glaucescens,Eucalyptus glaucescens
Eucalyptus glaucina,Eucalyptus glaucina
Eucalyptus globoidea,Eucalyptus globoidea
Eucalyptus globulus,Eucalyptus globulus
Eucalyptus globulus subsp. bicostata,Eucalyptus bicostata
Eucalyptus globulus subsp. maidenii,Eucalyptus maidenii
Eucalyptus goniocalyx,Eucalyptus goniocalyx
Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx
Eucalyptus gracilis,Eucalyptus gracilis
Eucalyptus grandis,Eucalyptus grandis
Eucalyptus grandis x saligna,Eucalyptus grandis x saligna
Eucalyptus gregsoniana,Eucalyptus gregsoniana
Eucalyptus gummifera,Corymbia gummifera
Eucalyptus gunnii,Eucalyptus gunnii
Eucalyptus haemastoma,Eucalyptus haemastoma
Eucalyptus haemastoma x racemosa,Eucalyptus haemastoma x racemosa
Eucalyptus henryi,Corymbia henryi
Eucalyptus hypostomatica,Eucalyptus hypostomatica
Eucalyptus ignorabilis,Eucalyptus ignorabilis
Eucalyptus imitans,Eucalyptus imitans
Eucalyptus incrassata,Eucalyptus costata subsp. murrayana
Eucalyptus intermedia,Corymbia intermedia
Eucalyptus interstans,Eucalyptus interstans
Eucalyptus intertexta,Eucalyptus intertexta
Eucalyptus kartzoffiana,Eucalyptus kartzoffiana
Eucalyptus kybeanensis,Eucalyptus kybeanensis
Eucalyptus lacrimans,Eucalyptus lacrimans
Eucalyptus laevopinea,Eucalyptus laevopinea
Eucalyptus langleyi,Eucalyptus langleyi
Eucalyptus laophila,Eucalyptus laophila
Eucalyptus largeana,Eucalyptus largeana
Eucalyptus largiflorens,Eucalyptus largiflorens
Eucalyptus latiuscula,Eucalyptus latiuscula
Eucalyptus leptophylla,Eucalyptus leptophylla
Eucalyptus leucoxylon,Eucalyptus leucoxylon subsp. pruinosa
Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa
Eucalyptus ligustrina,Eucalyptus ligustrina
Eucalyptus longifolia,Eucalyptus longifolia
Eucalyptus luehmanniana,Eucalyptus luehmanniana
Eucalyptus macarthurii,Eucalyptus macarthurii
Eucalyptus mackintii,Eucalyptus mackintii
Eucalyptus macrorhyncha,Eucalyptus macrorhyncha
Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus cannonii
Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha
Eucalyptus maculata,Corymbia maculata
Eucalyptus magnificata,Eucalyptus magnificata
Eucalyptus maidenii,Eucalyptus maidenii
Eucalyptus major,Eucalyptus major
Eucalyptus malacoxylon,Eucalyptus malacoxylon
Eucalyptus mannifera,Eucalyptus mannifera
Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii
Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. mannifera
Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera
Eucalyptus mannifera subsp. praecox,Eucalyptus praecox
Eucalyptus mckieana,Eucalyptus mckieana
Eucalyptus melanophloia,Eucalyptus melanophloia
Eucalyptus melliodora,Eucalyptus melliodora
Eucalyptus michaeliana,Eucalyptus michaeliana
Eucalyptus microcarpa,Eucalyptus microcarpa
Eucalyptus microcarpa <--> viridis,Eucalyptus microcarpa <--> viridis
Eucalyptus microcarpa x pilligaensis,Eucalyptus microcarpa x pilligaensis
Eucalyptus microcorys,Eucalyptus microcorys
Eucalyptus microtheca,Eucalyptus coolabah
Eucalyptus moluccana,Eucalyptus moluccana
Eucalyptus moorei,Eucalyptus moorei
Eucalyptus morrisii,Eucalyptus morrisii
Eucalyptus muelleriana,Eucalyptus muelleriana
Eucalyptus multicaulis,Eucalyptus multicaulis
Eucalyptus nandewarica,Eucalyptus nandewarica
Eucalyptus nicholii,Eucalyptus nicholii
Eucalyptus nigra,Eucalyptus eugenioides
Eucalyptus niphophila,Eucalyptus niphophila
Eucalyptus nitens,Eucalyptus nitens
Eucalyptus nobilis,Eucalyptus nobilis
Eucalyptus nobilis <--> viminalis,Eucalyptus nobilis <--> viminalis
Eucalyptus nortonii,Eucalyptus nortonii
Eucalyptus notabilis,Eucalyptus notabilis
Eucalyptus nova-anglica,Eucalyptus nova-anglica
Eucalyptus nubila,Eucalyptus nubila
Eucalyptus obliqua,Eucalyptus obliqua
Eucalyptus oblonga,Eucalyptus oblonga
Eucalyptus obstans,Eucalyptus obstans
Eucalyptus obtusiflora,Eucalyptus obstans
Eucalyptus ochrophloia,Eucalyptus ochrophloia
Eucalyptus oleosa,Eucalyptus oleosa subsp. oleosa
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa
Eucalyptus olida,Eucalyptus olida
Eucalyptus olsenii,Eucalyptus olsenii
Eucalyptus opaca,Corymbia tumescens
Eucalyptus ophitica,Eucalyptus ophitica
Eucalyptus oreades,Eucalyptus oreades
Eucalyptus oresbia,Eucalyptus oresbia
Eucalyptus ovata,Eucalyptus ovata
Eucalyptus pachycalyx,Eucalyptus pachycalyx subsp. banyabba
Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. banyabba
Eucalyptus paliformis,Eucalyptus paliformis
Eucalyptus panda,Eucalyptus panda
Eucalyptus paniculata,Eucalyptus paniculata
Eucalyptus paniculata subsp. matutina,Eucalyptus paniculata subsp. matutina
Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata subsp. paniculata
Eucalyptus parramattensis,Eucalyptus parramattensis
Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens
Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis
Eucalyptus parvifolia,Eucalyptus parvula
Eucalyptus parvula,Eucalyptus parvula
Eucalyptus patentinervis,Eucalyptus x kirtoniana
Eucalyptus pauciflora,Eucalyptus pauciflora
Eucalyptus pauciflora subsp. debeuzevillei,Eucalyptus debeuzevillei
Eucalyptus pauciflora subsp. niphophila,Eucalyptus niphophila
Eucalyptus pauciflora subsp. pauciflora,Eucalyptus pauciflora
Eucalyptus pauciflora x radiata,Eucalyptus x vitrea
Eucalyptus pellita,Eucalyptus scias
Eucalyptus perriniana,Eucalyptus perriniana
Eucalyptus pilligaensis,Eucalyptus pilligaensis
Eucalyptus pilularis,Eucalyptus pilularis
Eucalyptus piperita,Eucalyptus piperita
Eucalyptus piperita subsp. piperita,Eucalyptus piperita
Eucalyptus piperita subsp. urceolaris,Eucalyptus piperita
Eucalyptus placita,Eucalyptus placita
Eucalyptus planchoniana,Eucalyptus planchoniana
Eucalyptus polyanthemos,Eucalyptus polyanthemos
Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos
Eucalyptus polyanthemos subsp. tarda,Eucalyptus polyanthemos
Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita
Eucalyptus polybractea,Eucalyptus polybractea
Eucalyptus polycarpa,Corymbia dolichocarpa
Eucalyptus populnea,Eucalyptus populnea subsp. bimbil
Eucalyptus populnea subsp. bimbil,Eucalyptus populnea subsp. bimbil
Eucalyptus porosa,Eucalyptus porosa
Eucalyptus praecox,Eucalyptus praecox
Eucalyptus prava,Eucalyptus prava
Eucalyptus prominula,Eucalyptus prominula
Eucalyptus propinqua,Eucalyptus propinqua
Eucalyptus psammitica,Eucalyptus psammitica
Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus
Eucalyptus pulverulenta,Eucalyptus pulverulenta
Eucalyptus pumila,Eucalyptus pumila
Eucalyptus punctata,Eucalyptus punctata
Eucalyptus punctata subsp. punctata,Eucalyptus punctata subsp. punctata
Eucalyptus punctata var. didyma,Eucalyptus biturbinata
Eucalyptus pyrocarpa,Eucalyptus pyrocarpa
Eucalyptus quadrangulata,Eucalyptus quadrangulata
Eucalyptus quinniorum,Eucalyptus quinniorum
Eucalyptus racemosa,Eucalyptus racemosa
Eucalyptus racemosa subsp. racemosa,Eucalyptus racemosa
Eucalyptus racemosa subsp. rossii,Eucalyptus rossii
Eucalyptus radiata,Eucalyptus radiata
Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata
Eucalyptus radiata subsp. robertsonii,Eucalyptus robertsonii
Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta
Eucalyptus ralla,Eucalyptus ralla
Eucalyptus recurva,Eucalyptus recurva
Eucalyptus resinifera,Eucalyptus resinifera
Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra
Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera
Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera
Eucalyptus retinens,Eucalyptus retinens
Eucalyptus robertsonii,Eucalyptus robertsonii
Eucalyptus robertsonii subsp. hemisphaerica,Eucalyptus robertsonii subsp. hemisphaerica
Eucalyptus robertsonii subsp. robertsonii,Eucalyptus robertsonii subsp. robertsonii
Eucalyptus robusta,Eucalyptus robusta
Eucalyptus robusta x saligna,Eucalyptus robusta x saligna
Eucalyptus robusta x tereticornis,Eucalyptus x kirtoniana
Eucalyptus robusta x tereticornis,Eucalyptus x kirtoniana
Eucalyptus rossii,Eucalyptus rossii
Eucalyptus rubida,Eucalyptus rubida
Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum
Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida
Eucalyptus rubida x viminalis,Eucalyptus rubida x viminalis
Eucalyptus rudderi,Eucalyptus rudderi
Eucalyptus rummeryi,Eucalyptus rummeryi
Eucalyptus rupicola,Eucalyptus cunninghamii
Eucalyptus saligna,Eucalyptus saligna
Eucalyptus saxatilis,Eucalyptus saxatilis
Eucalyptus saxicola,Eucalyptus saxicola
Eucalyptus scias,Eucalyptus scias
Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda
Eucalyptus scias subsp. callimastha,Eucalyptus scias subsp. callimastha
Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias
Eucalyptus sclerophylla,Eucalyptus sclerophylla
Eucalyptus scoparia,Eucalyptus scoparia
Eucalyptus seeana,Eucalyptus seeana
Eucalyptus serpentinicola,Eucalyptus serpentinicola
Eucalyptus siderophloia,Eucalyptus siderophloia
Eucalyptus sideroxylon,Eucalyptus sideroxylon
Eucalyptus sideroxylon <--> viridis,Eucalyptus sideroxylon <--> viridis
Eucalyptus sideroxylon subsp. sideroxylon,Eucalyptus sideroxylon
Eucalyptus sieberi,Eucalyptus sieberi
Eucalyptus signata,Eucalyptus signata
Eucalyptus smithii,Eucalyptus smithii
Eucalyptus socialis,Eucalyptus socialis
Eucalyptus sp. aff. agglomerata,Eucalyptus sp. aff. agglomerata
Eucalyptus sp. aff. cameronii (Macleay-Apsley),Eucalyptus sp. aff. cameronii (Macleay-Apsley)
Eucalyptus sp. aff. dwyeri,Eucalyptus sp. aff. dwyeri
Eucalyptus sp. aff. fibrosa (Pokolbin),Eucalyptus sp. aff. fibrosa (Pokolbin)
Eucalyptus sp. aff. fibrosa (Yarrawa),Eucalyptus sp. aff. fibrosa (Yarrawa)
Eucalyptus sp. aff. macrorhyncha,Eucalyptus sp. aff. macrorhyncha
Eucalyptus sp. 'Cattai',Eucalyptus sp. Cattai
Eucalyptus sparsifolia,Eucalyptus sparsifolia
Eucalyptus spectatrix,Eucalyptus spectatrix
Eucalyptus spp.,Eucalyptus spp.
Eucalyptus squamosa,Eucalyptus squamosa
Eucalyptus stannicola,Eucalyptus subtilior
Eucalyptus stellulata,Eucalyptus stellulata
Eucalyptus stenostoma,Eucalyptus stenostoma
Eucalyptus stricta,Eucalyptus stricta
Eucalyptus sturgissiana,Eucalyptus sturgissiana
Eucalyptus subcaerula,Eucalyptus subcaerulea
Eucalyptus subcaerulea,Eucalyptus subcaerulea
Eucalyptus subtilior,Eucalyptus subtilior
Eucalyptus tenella,Eucalyptus tenella
Eucalyptus tereticornis,Eucalyptus tereticornis
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis
Eucalyptus terminalis,Corymbia tumescens
Eucalyptus tessellaris,Corymbia tessellaris
Eucalyptus tetrapleura,Eucalyptus tetrapleura
Eucalyptus tindaliae,Eucalyptus tindaliae
Eucalyptus torelliana,Corymbia torelliana
Eucalyptus tricarpa,Eucalyptus tricarpa
Eucalyptus triflora,Eucalyptus triflora
Eucalyptus triplex,Eucalyptus triplex
Eucalyptus umbra,Eucalyptus umbra
Eucalyptus umbra subsp. umbra,Eucalyptus umbra
Eucalyptus vicina,Eucalyptus vicina
Eucalyptus viminalis,Eucalyptus viminalis
Eucalyptus viminalis subsp. luxurians,Eucalyptus viminalis subsp. luxurians
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis
Eucalyptus viridis,Eucalyptus viridis
Eucalyptus volcanica,Eucalyptus volcanica
Eucalyptus wilcoxii,Eucalyptus wilcoxii
Eucalyptus williamsiana,Eucalyptus williamsiana
Eucalyptus youmanii,Eucalyptus youmanii
