"","eucalypts","bark"
"195","Eucalyptus fergusonii subsp. fergusonii",NA
"196","Eucalyptus fibrosa",NA
"197","Eucalyptus fibrosa",NA
"198","Eucalyptus fibrosa x punctata",NA
"199","Eucalyptus fracta",NA
"200","Eucalyptus fraxinoides","rough on basal 4-5 m of trunk, compacted, grey, grey-brown or black; smooth bark white, cream or pale grey, with scribbles, occasionally with horizontal black scars, often ribbony, branchlets sometimes glaucous."
"201","Eucalyptus fusiformis",NA
"202","Eucalyptus gillii","smooth throughout or with some rough, flaky or box-type grey or brown bark on lower 2 m of larger stems, the flakes shed imperfectly giving a curly appearance; smooth bark white, cream, pink or grey. Branchlets usually glaucous."
"203","Eucalyptus glaucescens","rough, fibrous, grey or grey-brown, on lower trunk of trees, shedding in ribbons above; smooth bark of upper trunks, and of mallees, white, orange, brown, green, grey, yellow or pink; horizontal black scars often present on trunk; branchlets usually glaucous."
"204","Eucalyptus glaucina","smooth, white and grey with patches of pink, orange or green; sometimes becoming granular or powdery with age."
"205","Eucalyptus globoidea","rough to small branches, stringy, furrowed down trunk, usually grey."
"206","Eucalyptus globulus","smooth apart from base which has persistent slabs, shedding in large strips and slabs; smooth bark white, cream, grey, pink, yellowish or pale creamy orange, often with ribbons of decorticated bark in the upper branches; branchlets occasionally glaucous."
"207","Eucalyptus goniocalyx","rough over all of trunk, sometimesextending to small branches, or the large branches smooth; rough bark fibrous or box-type, grey, grey-brown, smooth bark white, cream or grey. "
"208","Eucalyptus goniocalyx subsp. goniocalyx",NA
"209","Eucalyptus gracilis","usually rough on lower stems (rarely smooth throughout), tessellated box-type, flaky or fibrous, grey or brown; smooth bark white, pink, brown or grey, sometimes powdery. "
"210","Eucalyptus grandis","rough, flaky, greyish on basal 1-4 m of trunk, smooth above, powdery, pale grey or white."
"211","Eucalyptus grandis x saligna",NA
"212","Eucalyptus gregsoniana","smooth, light grey to white with patches of yellow, pink or pale brown."
"213","Eucalyptus gunnii","smooth throughout or with some imperfectly decorticated rough bark on basal 1 m of trunk; smooth bark mottled white, yellow, pink, brown, green or grey, branchlets often conspicuously glaucous."
"214","Eucalyptus haemastoma","smooth, white, grey, yellow or silvery grey, with prominent scribbles."
"215","Eucalyptus haemastoma x racemosa",NA
"216","Eucalyptus hypostomatica","rough on trunk and larger branches, box-type, flaky, grey, branches 8 cm diameter usually smooth, grey."
"217","Eucalyptus ignorabilis","on trunk and branches rough, firm, fibrous, with interlocking fissures, spongy, grey or brown, smaller branches shedding in ribbons."
"218","Eucalyptus imitans","rough to 5 cm diameter branches, stringy, pale grey to grey-brown."
"219","Eucalyptus interstans","smooth, mottled grey, white, pink or orange."
"220","Eucalyptus intertexta","rough on lower trunk, rarely over whole trunk, thick, fibrous, often box-type, grey to red-brown; smooth above, predominantly white with grey or brown patches shedding in flakes; branchlets"
"221","Eucalyptus kartzoffiana","rough on part or most of trunk, fibrous or box-type, grey or grey-brown; smooth bark white, cream, brown, grey or green, occasionally with with horizontal black scars, commonly with long ribbons of decorticated bark in the crown; branchlets often glaucous."
"222","Eucalyptus kybeanensis","smooth, white to cream, coppery, brown, green-grey or yellow-green, or pink-grey, often with scribbles, often with ribbons of decorticated bark in the upper branches."
"223","Eucalyptus lacrimans","smooth mainly white with patches of cream, grey or orange; branchlets glaucous."
"224","Eucalyptus laevopinea","rough on trunk and larger limbs, stringy, thick, grey, or grey-brown; branches smooth, whitish-grey."
"225","Eucalyptus langleyi","smooth throughout or with a few persistent strips at base of stems; smooth bark shedding in ribbons, grey, pinkish grey and yellow to brown."
"226","Eucalyptus laophila",NA
"227","Eucalyptus largeana","rough on trunk and often larger branches, box-type often tessellated, grey; smooth bark white or grey."
"228","Eucalyptus largiflorens","rough to small branches, box-type often tessellated, dark grey. "
"229","Eucalyptus latiuscula",NA
"230","Eucalyptus leptophylla","smooth, grey, white, light pinkish grey or salmon, sometimes becoming granular with age, shedding in long strips. "
"231","Eucalyptus leptophylla","smooth, grey, white, light pinkish grey or salmon, sometimes becoming granular with age, shedding in long strips. "
"232","Eucalyptus leucoxylon subsp. pruinosa",NA
"233","Eucalyptus leucoxylon subsp. pruinosa",NA
"234","Eucalyptus ligustrina","rough to ca 2-3 cm branches, stringy, grey or grey-brown."
"235","Eucalyptus longifolia","rough, fibrous, thin, box-type, irregularly cracked to tessellated or flaky, grey, persisting to smaller branches or branches 8 cm diameter smooth."
"236","Eucalyptus luehmanniana","smooth, shedding in strips, white to yellowish or brown, grey or olive."
"237","Eucalyptus macarthurii","rough, fissured longitudinally, fibrous, often hard, grey, continuing to smaller branches or the branches 8 cm diameter smooth, ribbons sometimes conspicuous in the crown."
"238","Eucalyptus mackintii","rough to small branches, stringy, grey to red-brown."
"239","Eucalyptus macrorhyncha","rough to small branches, stringy, often deeply furrowed, grey or grey-brown or red-brown."
"240","Eucalyptus macrorhyncha","rough to small branches, stringy, often deeply furrowed, grey or grey-brown or red-brown."
"241","Eucalyptus magnificata","rough on trunk and larger branches, shortly fibrous or box-type, thin and flaky, grey and grey-brown smooth bark coppery, brown, grey-green, or grey. branchlets are rarely glaucous."
"242","Eucalyptus maidenii",NA
"243","Eucalyptus maidenii",NA
"244","Eucalyptus major","smooth, becoming granular with age, mottled grey, cream, pink, orange, shedding in strips."
"245","Eucalyptus malacoxylon","rough on trunk and branches to ca 5-8 cm diameter, tessellated or box-type, thick, grey."
"246","Eucalyptus mannifera","smooth throughout or with some persistent rough, grey slabs at base of trunk; smooth bark usually powdery, white and grey; branchlets sometimes glaucous."
"247","Eucalyptus mannifera subsp. gullickii",NA
"248","Eucalyptus mannifera subsp. mannifera",NA
"249","Eucalyptus mannifera subsp. mannifera",NA
"250","Eucalyptus mckieana","rough to small branches, stringy, deeply fissured, grey or grey-brown."
"251","Eucalyptus melanophloia",NA
"252","Eucalyptus melliodora","fibrous or thin flakes held in variable amounts on trunk, sometime entire trunk rough, yellow-brown to yellow-grey; smooth bark pale grey to yellow; branchlets usually non-glaucous."
"253","Eucalyptus michaeliana","smooth, mottled grey to blue-grey and white, cream, yellow, or pink."
"254","Eucalyptus microcarpa","rough over whole trunk and to base of larger branches, box-type or tessellated, grey, grey- brown or mottled with grey and whitish patches; smooth bark usually white; pith of branchlets sometimes glandular."
"255","Eucalyptus microcarpa <--> viridis",NA
"256","Eucalyptus microcarpa x pilligaensis",NA
"257","Eucalyptus microcorys","rough to small branches, softly stringy or fibrous, brown-grey to red-brown."
"258","Eucalyptus moluccana","rough on part or all of trunk, thin, box-type or tessellated, grey or mottled with grey and white patches; smooth bark white, cream or pale-grey, often shiny; pith of branchlets sometimes glandular."
"259","Eucalyptus moorei","smooth, grey-brown to pale coppery with patches of orange and yellow."
"260","Eucalyptus morrisii","of trees often rough to smaller branches, in mallees often only at base of stems; rough bark usually compacted, or fibrous or box-type, dark grey; smooth bark grey to green-grey, sometimes with a few ribbons in crown."
"261","Eucalyptus muelleriana","rough to small branches, stringy, grey-brown to grey-yellow."
"262","Eucalyptus multicaulis","smooth throughout or with 0.5 m of persistent rough bark at the base of stems; smooth bark grey or white; branchlets not glaucous."
"263","Eucalyptus nandewarica","smooth throughout or with persistent rough, fibrous bark on base of trunk for ca 1 m; smooth bark mottled white, grey, brown, cream or orange."
"264","Eucalyptus nicholii","rough to small branches, thick, fibrous, grey or grey-brown, longitudinally furrowed."
"265","Eucalyptus niphophila",NA
"266","Eucalyptus niphophila",NA
"267","Eucalyptus nitens","smooth throughout or with a thin stocking of rough grey bark for basal 1 m of trunk; smooth bark predominantly pale grey to greenish-grey but with patches of white, cream or pale brown with horizontal black scars sometimes present; crown often ribbony."
"268","Eucalyptus nobilis","smooth, shedding in long ribbons, white and pale grey; sometimes with persistent slabs of rough grey bark at base of trunk. "
"269","Eucalyptus nobilis <--> viminalis",NA
"270","Eucalyptus nortonii","rough to small branches, coarse and thick, fibrous or box-type, mottled grey and whitish or grey-brown; sometimes branches 8 cm diameter smooth; branchlets glaucous."
"271","Eucalyptus notabilis","rough to small branches, fibrous, brown-grey, fissured longitudinally forming broad flat strips."
"272","Eucalyptus nova-anglica","rough throughout or branches 8 cm diameter smooth; rough bark thick, fibrous, longitudinally furrowed, grey and red-brown."
"273","Eucalyptus nubila",NA
"274","Eucalyptus nubila",NA
"275","Eucalyptus obliqua","rough to small branches or sometimes branches 8 cm diameter smooth; rough bark stringy or fibrous, brown to grey-brown, longitudinally furrowed; smooth bark green or grey."
"276","Eucalyptus oblonga",NA
"277","Eucalyptus obstans",NA
"278","Eucalyptus obstans",NA
"279","Eucalyptus ochrophloia","rough and tessellated, scaly, or box-type on lower trunk, dark grey to black with abrupt change to smooth bark, which is grey to coppery, pink, white, yellow or brown."
"280","Eucalyptus oleosa subsp. oleosa",NA
"281","Eucalyptus oleosa subsp. oleosa",NA
"282","Eucalyptus olida","rough, thick, flaky and fibrous to branches 5-8 cm diameter, orange-brown or grey."
"283","Eucalyptus olsenii","rough only on lower trunk, fibrous or flaky, grey or grey-brown; smooth bark white, cream or grey, often with ribbons of decorticated bark in the upper branches."
"284","Eucalyptus ophitica",NA
"285","Eucalyptus oreades","rough for up to 4 m at base of trunk, loose and grey; smooth bark powdery, cream, white, grey or yellow-brown, usually with ribbons of decorticated bark in the upper branches. Branchlets"
"286","Eucalyptus oresbia",NA
"287","Eucalyptus ovata","smooth throughout or with loose, rough, grey to grey-brown bark to variable height on trunk; smooth bark white, cream, pale grey or pink-brown, occasionally powdery."
"288","Eucalyptus pachycalyx subsp. banyabba",NA
"289","Eucalyptus pachycalyx subsp. banyabba",NA
"290","Eucalyptus paliformis","smooth throughout, grey to green or white with newly exposed bark yellow."
"291","Eucalyptus panda",NA
"292","Eucalyptus paniculata",NA
"293","Eucalyptus paniculata subsp. matutina",NA
"294","Eucalyptus paniculata subsp. paniculata",NA
"295","Eucalyptus parramattensis","smooth becoming granular with age, mottled grey, brown, yellow or pink."
"296","Eucalyptus parramattensis subsp. decadens",NA
"297","Eucalyptus parramattensis subsp. parramattensis",NA
"298","Eucalyptus parvula","smooth throughout or with some persistent rough, grey bark on lower trunk; smooth bark predominantly dark grey, at times with ribbons of decorticated bark in the upper branches."
"299","Eucalyptus parvula","smooth throughout or with some persistent rough, grey bark on lower trunk; smooth bark predominantly dark grey, at times with ribbons of decorticated bark in the upper branches."
"300","Eucalyptus pauciflora","smooth, predominantly white, cream and grey, with yellow patches, usually with scribbles; branchlets glaucous or non-glaucous."
"301","Eucalyptus pauciflora","smooth, predominantly white, cream and grey, with yellow patches, usually with scribbles; branchlets glaucous or non-glaucous."
"302","Eucalyptus perriniana","smooth throughout, or rough only at base of trunks of largest individuals; smooth bark light coppery to greenish or white, shedding in ribbons; branchlets usually glaucous with leaf ring scars."
"303","Eucalyptus pilligaensis",NA
"304","Eucalyptus pilularis","rough on lower half of trunk, finely fibrous, grey or grey-brown; smooth bark not powdery or granular, smooth bark cream to white or grey, often with scribbles."
"305","Eucalyptus piperita","rough on trunk and larger limbs, sometimes also on smaller branches, finely fibrous or peppermint-type, grey or grey-brown; branches usually smooth, white to cream or grey, often powdery."
"306","Eucalyptus piperita","rough on trunk and larger limbs, sometimes also on smaller branches, finely fibrous or peppermint-type, grey or grey-brown; branches usually smooth, white to cream or grey, often powdery."
"307","Eucalyptus piperita","rough on trunk and larger limbs, sometimes also on smaller branches, finely fibrous or peppermint-type, grey or grey-brown; branches usually smooth, white to cream or grey, often powdery."
"308","Eucalyptus placita",NA
"309","Eucalyptus planchoniana","rough to small branches or the branches 8 cm diameter smooth; rough bark stringy and shallowly fissured down trunk, usually red-brown, often prickly. "
"310","Eucalyptus polyanthemos","rough on trunk and branches, box-type, grey, brown-grey or mottled with grey and white patches; branchlets glaucous or non-glaucous."
"311","Eucalyptus polyanthemos","rough on trunk and branches, box-type, grey, brown-grey or mottled with grey and white patches; branchlets glaucous or non-glaucous."
"312","Eucalyptus polyanthemos subsp. polyanthemos",NA
"313","Eucalyptus polyanthemos subsp. vestita",NA
"314","Eucalyptus polybractea","rough, box-type and pale grey to grey-brown on lower 1-2 m of stems; smooth light grey to dark grey, brown or pinkish, at times with ribbons of decorticated bark in the upper branches; smaller regenerating plants that are at flowering stage may be entirely smooth-barked; branchlets usually glaucous or rarelynon-glaucous."
"315","Eucalyptus populnea subsp. bimbil",NA
"316","Eucalyptus populnea subsp. bimbil",NA
"317","Eucalyptus porosa","rough on the short trunk and larger branches of trees, and on lower stems of mallees, box-type, dark grey to dark brown-grey or whitish grey; smooth bark whitish or grey; branchlets with or without oil glands in the pith. "
"318","Eucalyptus praecox",NA
"319","Eucalyptus praecox",NA
"320","Eucalyptus prava","smooth, becoming granular with age, mottled grey, orange, brown and pink; branchlets glaucous or non-glaucous."
"321","Eucalyptus prominula","rough to small branches, stringy, greyand grey-brown."
"322","Eucalyptus propinqua","smooth, becoming granular with age, mottled grey, cream, pink, orange, coppery or yellow, shedding in strips."
"323","Eucalyptus psammitica","rough, stringy or fibrous, loose, prickly, not furrowed, grey or grey-brown."
"324","Eucalyptus pseudoglobulus",NA
