"","eucalypts","bark"
"28","Eucalyptus apodophylla","smooth and very powdery throughout, new bark pale pink to pale yellow, maturing to white and sometimes weathering to grey just before decortication. branchlets very glaucous."
"29","Eucalyptus apothalassica","rough throughout, grey or grey-brown, fibrous, sometimes prickly to touch, held on trunk in flattish strips rather than typical stringybark."
"30","Eucalyptus approximans","smooth, grey, yellow, brown or greenish, occasionally with ribbons of decorticated bark in the upper branches."
"31","Eucalyptus arachnaea","rough, grey-black for up to 2-3 m of trunk, tightly fibrous and fissured to flaky, smooth above, grey and yellowish brown."
"32","Eucalyptus archeri","smooth, grey-green, grey, pinkish, white or brown, sometimes with horizontal black scars."
"33","Eucalyptus arenacea","rough to small branches in trees, stringy, grey or brown; in mallees shortly fibrous to flaky on stems with branches smooth."
"34","Eucalyptus arenicola","rough, extending to limbs to about 5 cm diameter, fibrous, peppermint-type, dark grey, smooth bark cream andpale grey."
"35","Eucalyptus argophloia","smooth throughout, sometimes with thin flakes or strips of decorticating bark persisting on the lower trunk. Smooth bark grey or reddish grey or brown over white to creamy-white to yellow."
"36","Eucalyptus argutifolia","smooth throughout, grey to pale coppery."
"37","Eucalyptus aridimontana","smooth throughout or rough for up tohalf the trunk, finely fibrous persistent box-type, grey-brown, smooth bark pale grey to brownish and bronze or orange-pink. "
"38","Eucalyptus armillata","smooth throughout, dark satiny pink-brown to pink-grey or dark red shedding in thin sheets to reveal powdery creamy white."
"39","Eucalyptus aromaphloia","rough to small branches or branches 8 cm diameter smooth; rough bark thick, furrowed longitudinally, dark grey to blackish, densely fibrous, sometimes with horizontal black scars, smooth branches salmon-coloured, sometimes with ribbons of decorticated bark in the upper branches."
"40","Eucalyptus aspersa","usually rough over most of the stems, flaky or fibrous, usually held in loose slabs, light grey to yellowish-brown, rarely almost smooth-barked."
"41","Eucalyptus aspratilis","rough for up to 2 m of trunks, loose, flaky to ribbony, grey to blackish brown, sometimes smooth throughout, silvery grey to pale brown-grey."
"42","Eucalyptus aurifodina","rough to small branches stringy, greyover red-brown."
"43","Eucalyptus badjensis","rough on lower trunk only, compacted, hard, blackish or grey, upper trunk and branches smooth grey, green, cream, brown or white, often with ribbons of decorticated bark in the upper branches."
"44","Eucalyptus baeuerlenii","smooth, pink, brown, grey, cream or green."
"45","Eucalyptus baileyana","rough on trunk and larger branches, stringy or fibrous, grey to reddish-brown."
"46","Eucalyptus baiophylla","rough flaky grey-black, red-grey or grey-brownbox-type on trunk often extending to branches 6 cm diameter, upper branchessmooth-barked and grey to pinkish-grey or orange. "
"47","Eucalyptus balladoniensis","rough, firm (compacted), fibrous to flaky on lower half of stems, dark grey, then shedding in short ribbons above to show smooth grey-brown to pink-brown and cream bark. "
"48","Eucalyptus bancroftii","smooth, sometimes becoming granular with age, mottled white, grey, orange, pink or brown."
"49","Eucalyptus banksii","rough on trunk and larger branches, fibrous or box-like, flaky, grey or grey-brown, smooth branches yellow."
"50","Eucalyptus barberi","smooth throughout or with loose, grey slabs of rough bark at base or trunks, smooth bark grey, white, cream, green, yellow or brown, often with ribbons of decorticated bark in the upper branches."
"51","Eucalyptus baudiniana","rough over part or all of trunk, fibrous to flaky, dark grey, then becoming smooth, grey-brown to brown."
"52","Eucalyptus baueriana","rough over trunk and branches, box-type, grey or mottled grey and white patches, branchlets occasionally glaucous. crown of mature tree often consisting of juvenile leaves."
"53","Eucalyptus baxteri","rough and stringy to small branches, grey to brown-grey."
"54","Eucalyptus beardiana","smooth throughout, pink and pink-grey (sometimes with thin curls of semi-persistent bark forming an attractive ring 5 cm high at the base of the trunk)."
"55","Eucalyptus behriana","on lower trunk rough, fibrous to box-type, dark brown to black, upper trunk and branches smooth, grey-brown to yellowish green or coppery, often with ribbons of decorticated bark on the branches. "
"56","Eucalyptus bensonii","rough on part or all of trunk and branches to 6 cm diameter, stringy, grey or brown, branches smooth above."
"57","Eucalyptus benthamii","smooth throughout or with partially adherent brownish rough bark at base of trunk, smooth bark bluish grey or white, branches ribbony."
"58","Eucalyptus bigalerita","smooth throughout, new bark pale orange to pale creamy-pink, maturing through brilliant salmon-pink to grey-white and weathering to grey just before decortication. Mature bark sometimes powdery."
"59","Eucalyptus blakelyi","smooth throughout or with some loose rough grey bark at base of trunk, smooth bark pale grey, cream and white with patches of yellow, pink, brown or orange."
"60","Eucalyptus blaxellii","smooth, grey over bronze, yellow-green or coppery, rarely with a very short stocking of brown fibrous rough bark."
"61","Eucalyptus blaxlandii","rough on trunk and branches 10cm diameter, stringy, dark brown to grey-brown, branches smooth-barked, whitish."
"62","Eucalyptus boliviana","rough throughout, stringy, grey to grey-brown. Branchlets slightly glaucous and strongly quadrangular, forming wings at each edge."
"63","Eucalyptus bosistoana","partly or wholly rough on trunk but sometimes almost smooth, branches always smooth; rough bark box-type, thin and flaky, mottled grey and white patches or grey-brown, smooth bark white, cream, yellow or grey, sometimes with with ribbons of decorticated bark in the upper branches."
"64","Eucalyptus botryoides","rough on trunk and larger limbs in thick, elongated, fibrous, grey or brown strips; smooth bark predominantly white, cream, or pale brown."
"65","Eucalyptus brachyandra","b'rough to small branches, fibrous to stringy, grey to brown or sometimes the larger branches smooth, grey to white."
"66","Eucalyptus brachycalyx","of trees fibrous and fissured yellow-brown to dark grey on part or all of trunk with branches smooth grey, brown, orange or pinkish to white. In mallees stems are smooth except for a short stocking of rough bark; the upper stems and branches may be ribbony."
"67","Eucalyptus brachyphylla","partly rough over trunk with imperfectly shed strips of greyish bark, smooth above, bronze and dark grey."
"68","Eucalyptus brandiana","smooth throughout,grey to silvery grey and salmon, shedding in irregularstrips."
"69","Eucalyptus brassiana","rough, usually only on the lower trunk for 2-4 m, sometimes rough to the small branches, often compacted and hard and fissured like that of an ironbark, dark grey to black. Smooth bark grey over white to creamy-yellow to orange."
"70","Eucalyptus brevifolia","smooth throughout, powdery white, weathering in patches to pink or grey."
"71","Eucalyptus brevipes","firm, fibrous to coarsely flaky, rough over part or all of trunk and often extending to ca 5 cm diameter branches, smooth above grey and bronze to salmon-pink. "
"72","Eucalyptus brevistylis","rough to ca 3 cm diameter branches, thick, long-fibred, fissured, tending to papery on the outside, grey-brown over red-brown."
"73","Eucalyptus bridgesiana","rough over whole trunk and larger branches, fibrous, usually tessellated and mottled grey and white."
"74","Eucalyptus brockwayi","smooth throughout, shiny, mottled light grey, salmon pink and creamy white."
"75","Eucalyptus brookeriana","rough, brown or grey, fibrous on lower 1-6 m of trunk, smooth above, white, cream, pinkish, orange, or olive-green to coppery, sometimes with horizontal black scars, often with ribbons of decorticated bark in the upper branches."
"76","Eucalyptus broviniensis","smooth, new bark pale orange, maturing to mottled grey, becoming granular with age,."
"77","Eucalyptus buprestium","smooth, greenish brown and cream, shedding in ribbons."
"78","Eucalyptus burgessiana","smooth throughout, white, pink, orange, pale brown or grey."
"79","Eucalyptus burracoppinensis","rough on basal part of trunk consisting of persistent thin strips of grey-brown bark, smooth above grey and coppery to pink. "
"80","Eucalyptus cadens","rough and compacted, dark grey, grey-brown or black, on 1-6 m of trunk, or with some loose basal slabs, smooth above, mostly green-grey often with a few ribbons of decorticated bark in the upper branches, branchlets sometimes glaucous."
"81","Eucalyptus caesia","minnirichi on trunk and branches, reddish-brown."
"82","Eucalyptus calcareana","smooth throughout, grey, cream, white and orange, shedding in ribbons."
"83","Eucalyptus calcicola","smooth, pale greenish grey, shedding in strips. "
"84","Eucalyptus caliginosa","rough to small branches, stringy, grey to grey-brown."
"85","Eucalyptus calycogona","rough over part of trunks, box-type to tessellated on older stems, grey-brown, smooth above, grey, grey-brown and yellow-cream, shedding in ribbons. "
"86","Eucalyptus calyerup","rough over the lower part of the trunk only, for up to 0.7 m, blackish grey, loose, fissured, fibrous, shedding in strips at its upper limit, smooth on upper trunk and branches, white to cream, pink and pale grey;sometimes smooth throughout."
"87","Eucalyptus camaldulensis","smooth throughout, often powdery, predominantly white, cream or grey but with patches of pink, red or brown. "
"88","Eucalyptus cambageana","rough for 2 to 3 m on the lower trunk, usually hard, tessellated or box-type, dark grey to black with abrupt change to smooth bark, which is normally white to grey, rarely creamy pink to yellow."
"89","Eucalyptus cameronii","rough and stringy to the small branches, grey or brown-grey."
"90","Eucalyptus camfieldii","rough, coarsely fissured and stringy to small branches, grey or grey-brown."
"91","Eucalyptus campaspe","smooth throughout, shiny, greenish grey to yellow-brown, red-brown or coppery."
"92","Eucalyptus camphora","smooth throughout or partly rough on lower trunk; rough bark either loose basal slabs, or compacted, dark brown, grey or blackish; smooth bark white-grey to grey-green, green or yellow-grey, sometimes slightly powdery."
"93","Eucalyptus canaliculata","smooth, becoming granular with age, predominantly grey or cream with brown, pink or orange patches."
"94","Eucalyptus canescens","rough, grey and flaky on stems and branches to ca 5 cm diameter, smooth above, light grey over brown."
"95","Eucalyptus canobolensis","smooth throughout or with some persistent rough, greyish bark at the base of trunk; smooth bark often powdery, white, cream, pale grey, yellow-orange or pink, sometimes horizontal black scars present, at times with ribbons of decorticated bark in the upper branches; branchlets glaucous."
"96","Eucalyptus capitellata","rough to small branches, stringy, grey or grey-brown."
"97","Eucalyptus carnabyi","smooth throughout, whitish grey to grey or mottled with brown. "
"98","Eucalyptus carnea","rough to small branches, stringy or fibrous, grey or grey-brown."
"99","Eucalyptus carnei","smooth throughout, grey over coppery, pinkish or cream, sometimes a short (ca 0.5 m) stocking of crumbly to flaky rough grey-black bark present."
"100","Eucalyptus celastroides","rough and flaky grey-brown for up to half of trunk then smooth, or smooth over whole stems, mottled whitish and pink-grey to salmon."
"101","Eucalyptus cephalocarpa","rough throughout, thick or the branches smooth; rough bark fibrous, longitudinally fissured, grey or grey-brown over red-brown, smooth bark pale brown to cream, branchlets often glaucous."
"102","Eucalyptus cerasiformis","pale grey and white mottled, sometimes powdery."
"103","Eucalyptus ceratocorys","rough for up to 3 m of the trunks of larger plants, with grey-brown shaggy, ribbony bark not shedding cleanly, smooth above, or on smaller plants smooth throughout, creamy grey to grey-brown."
"104","Eucalyptus cernua","smooth throughout, dark grey to black over greenish yellow, shedding in strips."
"105","Eucalyptus chapmaniana","on trunk partly or completely rough, fibrous and finely fissured longitudinally grey or brown-grey, branches smooth, light brown to creamy-white or pale grey, with long ribbons of decorticated bark in the branches, branchlets sometimes glaucous."
"106","Eucalyptus cinerea","rough to small branches, thick, fibrous, furrowed longitudinally, grey over red-brown."
"107","Eucalyptus cladocalyx","smooth, mottled white, yellow, pink, orange, brown, pale grey, dark grey or blue grey, sometimes slightly powdery."
"108","Eucalyptus clivicola","smooth throughout, dark and whitish grey over brownish, or mottled with imperfectly shed flakes of brown-grey rough bark."
"109","Eucalyptus cloeziana","rough, grey-brown to orange-brown to yellowish grey, over most of or whole trunk and sometimes extending to larger branches down to 20 cm diameter, smooth above. Rough bark thick,soft and flaky to fibrous becoming coarsely tessellated on older trunks; smooth bark white to grey-brown to orange."
"110","Eucalyptus cneorifolia","rough, narrowly fissured longitudinally, compacted, grey or brown-grey, upper stems and branches usually smooth, whitish to pale yellow-grey."
"111","Eucalyptus coccifera","smooth throughout or with a few loose basal grey slabs, smooth bark grey, cream, white, pinkish and fawn, occasionally with horizontal black scars, branchlets often glaucous."
"112","Eucalyptus comitae-vallis","rough, grey, shaggy to ribbony on part or all of trunks to 10 cm diameter branches, or on smaller mallees stems smooth throughout, pinkish grey to whitish and yellow-green."
"113","Eucalyptus communalis","smooth throughout, shedding in short ribbons, pale grey and pinkish grey over coppery to white."
"114","Eucalyptus concinna","rough grey-brown, thick to flaky or scaly for up to half of trunk, or sometimes entirely smooth, pale grey over coppery."
"115","Eucalyptus conferruminata","smooth throughout, greyor light grey, peeling to yellow cream, shedding in strips."
"116","Eucalyptus confluens","smooth throughout, powdery white over pale pink, weathering in patches to grey."
"117","Eucalyptus conglobata","smooth throughout, shedding in short strips, pale grey over creamy white."
"118","Eucalyptus conglomerata","grey-brown stringybark to small limbs, branchlets may be smooth."
"119","Eucalyptus conica","rough on trunk and branches to about 8 cm diameter, box-type, often tessellated or flaky, grey or grey-brown, smooth bark whitish."
"120","Eucalyptus consideniana","rough on most of trunk often extending to branches 8 cm diameter, finely fibrous, grey, grey-brown or greyish yellow, sometimes prickly, sometimes with horizontal black scars; smooth bark white or grey."
"121","Eucalyptus conspicua","rough to branches ca 3 cm diameter,loosely fibrous, longitudinally furrowed, grey over red-brown; branchlets glaucous."
"122","Eucalyptus conveniens","usually smooth, grey-brown over green, sometimes larger mallees with a short stocking of grey-brown ribbony rough bark. "
"123","Eucalyptus coolabah","rough on part or all of trunk, sometimes extending to the largest limbs, box-type or sometimes tessellated, grey, grey-brown or blackish, upper bark smooth, powdery, white, cream, pale grey or pink."
"124","Eucalyptus cooperiana","smooth throughout or with some persistent flaky-fibrous rough grey bark at the base of the stem, smooth bark powdery white over pale grey to pinkish grey."
"125","Eucalyptus cordata","smooth, mottled, greenish, white, brown, blue-greyand grey; on tallest trees there may be some basal slabs of rough grey-brown bark low on trunk; branchlets glaucous, squared in cross-section."
"126","Eucalyptus coronata","wholly smooth, pale grey and pale brown."
"127","Eucalyptus corrugata","usually rough dark grey to brown or yellow brown and scaly, flaky or thinly fibrous for up to 2 m of trunk, smooth above grey over salmon pink, sometimes prickly."
"128","Eucalyptus corticosa","rough on trunk, sometimes extending to small branches, fibrous, sometimes fissured and forming longitudinal slabs, sometimes tessellated in part, grey; smooth bark grey, grey-brown to pale orange."
"129","Eucalyptus cosmophylla","smooth throughout or with a few loose basal grey or brown rough slabs; smooth bark becoming granular with age, white to cream, grey, blue-grey or yellow."
"130","Eucalyptus crenulata","rough on trunk only or extending to 8 cm diameter branches in older trees, compacted, grey, brown or black; smooth bark grey, yellow or grey-brown, branchlets glaucous or non-glaucous."
"131","Eucalyptus creta","smooth throughout, shiny, grey over bronze to greenish brown."
"132","Eucalyptus cretata","rough, grey and coarsely flaky for lower part of stems, smooth above, pale grey to creamy yellow and pale brown; branchlets glaucous."
"133","Eucalyptus crispata","rough on lower trunk for up to 1 m, with imperfectly shed grey curls, smooth above, grey over pinkish."
"134","Eucalyptus croajingolensis","rough throughout or branches less than 8 cm diameter smooth; rough bark finely fibrous (peppermint-type), grey or grey-brown; smooth bark white or grey, often with scribbles, branchlets glaucous or non-glaucous."
"135","Eucalyptus crucis","thick, rough, densely and closely fibrous on most of trunk and larger branches, minnirichi only on smaller branches, green-fawn over rich red-brown."
"136","Eucalyptus cunninghamii","smooth, grey, often with scribbles."
"137","Eucalyptus cupularis","smooth and powdery throughout, new bark pale pink, maturing to white. Branchlets glaucous."
"138","Eucalyptus curtisii","smooth throughout, grey to silvery, shedding in short curly brown flakes."
"139","Eucalyptus cyanophylla","smooth or with a ragged stocking of partly shed grey or red-brown strips on lower stems; smooth bark pink to brown, or white to grey or orange-brown, often with ribbons of decorticated bark in the upper branches."
"140","Eucalyptus cyclostoma","smooth throughout, whitish grey to cream, brown and pinkish grey."
"141","Eucalyptus cylindriflora","smooth throughout, white to pale grey and yellowish grey."
"142","Eucalyptus cylindrocarpa","smooth throughout or sometimes with rough grey-brown loosely adherent thin flaky bark on base of stems, smooth bark pinkish grey to white, powdery at times."
"143","Eucalyptus cypellocarpa","smooth throughout, yellowish, pale grey, cream or grey-brown or orange-brown, or with some persistent slabs of rough bark or thin rough bark on lower trunk; often with horizontal bark scars on rough or smooth bark, ribbons of decorticated bark sometimes present."
"144","Eucalyptus dalrympleana","smooth throughout or with short stocking of persistent rough greyish bark; smooth bark yellow or white to cream with patches of grey, pink, brown and green, sometimes powdery, sometimes with horizontal black scars, often with ribbony crown."
"145","Eucalyptus dawsonii","smooth to small branches, or with a short stocking of persistent, flaky, grey or grey-brown rough bark; smooth bark often slightly powdery, mottled white, orange, brown, grey or yellow, branchlets glaucous."
"146","Eucalyptus dealbata","smooth throughout, or partly rough due to persistent slabs of grey bark on base of trunk; smooth bark white, grey, yellow, pink, brown, coppery or orange, branchlets glaucous."
"147","Eucalyptus deanei","smooth throughout, or sometimes with some persistent scaly grey or grey-brown bark at base of trunk; smooth bark white or cream, with patches of yellow, pink, grey or orange, sometimes powdery."
"148","Eucalyptus decurva","smooth throughout, pale whitish grey over salmon and yellow-green, surface may be powdery."
"149","Eucalyptus deflexa","smooth throughout, dark or pale grey to whitish."
"150","Eucalyptus delegatensis","rough on all or part of trunk, usually not furrowed, stringy or fibrous, grey to black, sometimes with horizontal black scars; smooth bark white, cream, yellow, grey or grey-green, often with scribbles, occasionally with ribbons of decorticated bark in the upper branches, branchlets glaucous or non-glaucous."
"151","Eucalyptus delicata","rough over most or on the lower portion of stem, dark grey to grey-brown, fibrous to scaly, smooth bark above white to pink-grey."
"152","Eucalyptus dendromorpha","usually rough on lower trunk, rough bark compacted, grey or brown; smooth bark white, cream, pink, green or grey, usually with scribbles, often ribbony. Young reproductively mature trees maylack any rough bark."
"153","Eucalyptus densa","smooth throughout, grey over pale coppery and brown."
"154","Eucalyptus denticulata","smooth except for some loose rough grey, black or brown bark at base of trunk; smooth bark white, cream, yellow, brown, green or grey, horizontal black scars usually present on trunk, often ribbons of decorticated bark hang in the upper branches."
"155","Eucalyptus depauperata","pale grey to grey and salmon-brown."
"156","Eucalyptus deuaensis","smooth, grey, brown, pink, white or yellow."
"157","Eucalyptus diminuta","smooth throughout, silvery white to greenish grey and coppery, or with a very short basal stocking of rough flaky grey-brown to blackish bark."
"158","Eucalyptus diptera","smooth throughout, with oily sheen, greenish grey to bronze, coppery or brown."
"159","Eucalyptus discreta","smooth throughout, creamy brown and pale grey, sometimes with persistent coarse ribbons of greyish rough bark for up to 1 m of stems."
"160","Eucalyptus distuberosa","wholly smooth, light grey to grey andbrown over orange to yellow, creamy whiteor light tan; shedding in long ribbons conspicuously hangingfrom branches to ground level in springtime."
"161","Eucalyptus diversifolia","rough on lower trunk of shrubs, in mallees extending to ca 4 cm diameter branches, fibrous, greyish brown. "
"162","Eucalyptus dives","rough to the large branches, finely fibrous (peppermint-type), grey to grey-brown; smooth bark grey."
"163","Eucalyptus dolichocera","rough for 2-3 m over the lower trunk, fibrous, flaky; smooth bark grey to white over orange-cream."
"164","Eucalyptus dolichorhyncha","smooth throughout, pale grey over pale orange to pale brown, shedding in broad ribbons."
"165","Eucalyptus dolorosa","rough, thin and flaky to hard and furrowed, grey to yellowish brown, for ca 0.5 m of trunk, smooth above, pale grey-brown. "
"166","Eucalyptus doratoxylon","smooth throughout, powdery white over reddish or greenish brown, rarely with a short stocking of flaky rough grey-black bark. "
"167","Eucalyptus dorrienii","smooth throughout, silvery grey and green-grey over pale brown-orange. "
"168","Eucalyptus dorrigoensis","smooth throughout or with some grey to grey-brown slabs of rough bark persisting on base of trunk; smooth bark sometimes slightly powdery, white, cream, pink or grey, often with ribbons of decorticated bark in the upper branches."
"169","Eucalyptus drummondii","smooth throughout, often powdery, whitish to grey and red-brown mottled. "
"170","Eucalyptus dumosa","usually rough on lower part of stems, grey or grey-brown, flaky or box-type; smooth bark white, yellow, grey, brown or pink-grey, shedding in ribbons from the upper stems and branches, rarely powdery. "
"171","Eucalyptus dundasii","rough, tightly held, blackish, scaly or tessellated for 2-3 m or more of trunk, then smooth blackish grey-green over coppery."
"172","Eucalyptus dunnii","rough for up to 4 m then smooth; rough bark loose basal slabs or corky, grey or brown; smooth bark usually white to cream, with patches of yellow, grey or green, long ribbons often hanging from crown."
"173","Eucalyptus dwyeri","smooth throughout, rarely with a few loose basal slabs of rough bark; smooth bark white or cream with grey, orange or brown patches, sometimes powdery."
"174","Eucalyptus ebbanoensis","usually smooth, grey to creamy-brown, sometimes grey over salmon-pink, larger individuals with a short stocking of light grey to brown flaky rough bark. "
"175","Eucalyptus ecostata","smooth throughout, silvery grey and cream-grey over pale brown-orange. "
"176","Eucalyptus educta","minnirichi throughout, reddish brown. "
"177","Eucalyptus elaeophloia","smooth throughout or with some persistent rough bark at the base of stems; smooth bark green to grey-green with coppery or brown patches."
"178","Eucalyptus elliptica","smooth, usually powdery, white with yellow, orange or grey patches, horizontal black scars sometimes present on trunk."
"179","Eucalyptus erectifolia","smooth grey-brown."
"180","Eucalyptus eremicola","usually rough on the lower half of the stems, fibrous on larger stems, flaky to ribbony and loosely held on smaller stems, grey; smooth bark grey to brown over white."
"181","Eucalyptus erosa","rough to small branches, stringy, grey or grey-brown."
"182","Eucalyptus erythrandra","usually entirely smooth, fawn to grey and cream or whitish grey, may have imperfectly shed broad ribbons near the base of trunk.Pith oil glands present in or absent from branchlets"
"183","Eucalyptus erythrocorys","smooth, grey or grey-brown to cream or white, rarely developing a short stocking of loose thin brown box-bark on the lower trunk. "
"184","Eucalyptus erythronema","smooth throughout, dark satiny pink-brown to dark red, shedding in thin sheets to reveal powdery creamy-white."
"185","Eucalyptus eudesmioides","rough on the lower 2 m, grey to brown, fibrous, flaky, smooth above, white, sometimes cream to brown to green. "
"186","Eucalyptus eugenioides","rough to small branches, longitudinally fissured, stringy, grey to grey-brown."
"187","Eucalyptus ewartiana","minnirichi throughout, greyish over red-brown or green-brown, or, less commonly, partly rough, matted and fibrous on basal 1 m of largest trunks."
"188","Eucalyptus exilis","smooth throughout, whitish to pale grey over yellow to coppery, shedding in ribbons."
"189","Eucalyptus expressa","rough throughout extending to branches ca 5 cm diameter, stringy, brownish grey."
"190","Eucalyptus exserta","rough, usually to small branches, hard, fissured and fibrous, grey."
"191","Eucalyptus extensa","smooth, of \'oily\' appearance, dark grey to light brownish grey over yellowish green or bronze.Pith glands present in branchlets"
"192","Eucalyptus extrica","smooth throughout, grey to grey-brown, or with some persistent basal fibrous bark. "
"193","Eucalyptus falcata","smooth throughout, mottled silvery grey and pale pink-grey."
"194","Eucalyptus famelica","with thin grey rough and fibrous for up to 0.5 m of trunks of larger plants or smooth throughout, grey and pale pinkish brown."
"195","Eucalyptus fasciculosa","loose and rough near base but otherwise smooth, light grey to pinkish grey or creamy white."
"196","Eucalyptus fastigata","rough on trunk and larger branches, fibrous or stringy, often furrowed, grey or brown; smooth bark of branches white, cream, orange, grey or brown, with ribbons of decorticated bark conspicuous in the crown."
"197","Eucalyptus flindersii","usually smooth, pinkish grey over white, cream or grey, but sometimes partly rough and loose or box-like and grey. "
"198","Eucalyptus flocktoniae","usually smooth throughout, grey over white to salmon pink to coppery.Branchlets"
"199","Eucalyptus foecunda","rough over part or all of trunks, firmly held, thin and fibrous to loose and flaky, grey to blackish, smooth above pale grey and pale brown."
"200","Eucalyptus foliosa","wholly smooth, grey, grey-brown, rusty brown and greenish grey, ribbons sometimes present."
"201","Eucalyptus forrestiana","wholly smooth, grey over pale brown."
"202","Eucalyptus fraseri","rough for basal 1-3 m of trunk with friable surface but black and much hardened beneath, smooth above, grey to creamy white over orange shedding in long ribbons."
"203","Eucalyptus fraxinoides","rough on basal 4-5 m of trunk, compacted, grey, grey-brown or black; smooth bark white, cream or pale grey, with scribbles, occasionally with horizontal black scars, often ribbony, branchlets sometimes glaucous."
"204","Eucalyptus frenchiana","smooth throughout, grey over fawn to brown and salmon, shedding in long ribbons."
"205","Eucalyptus froggattii","rough and crumbly over most of trunk, box-type, blackish; smooth bark greenish grey, or green to brown, or yellow-grey, shedding in thin narrow ribbons."
"206","Eucalyptus fruticosa","rough over part or all of the stems sometimes extending to branches to ca 8 cm diameter, fibrous to flaky, grey-brown, smooth above pale tan and grey-brown, shedding in ribbons, but smaller mallees may be smooth-barked."
"207","Eucalyptus fulgens","rough usually to small branches, thick, fibrous, furrowed longitudinally, dark-grey; branches 8cm diameter sometimes smooth."
"208","Eucalyptus gamophylla","usually smooth throughout, white to grey to brown, sometimes cream to pink; occasionally with a short stocking of pale grey to yellowy brown rough flaky bark. "
"209","Eucalyptus gardneri","smooth throughout, shedding in short curly flakes, satiny grey over salmon-pink."
"210","Eucalyptus georgei","smooth throughout, pale grey and coppery-orange, shedding in long ribbons."
"211","Eucalyptus gillenii","smooth throughout, mottled grey, white, pinkish, and shades of brown. "
"212","Eucalyptus gillii","smooth throughout or with some rough, flaky or box-type grey or brown bark on lower 2 m of larger stems, the flakes shed imperfectly giving a curly appearance; smooth bark white, cream, pink or grey. Branchlets usually glaucous."
"213","Eucalyptus gittinsii","smooth, grey-brown over cream to creamy brown to yellow, sometimes with a short stocking of grey-brown ribbony rough bark. "
